scnlp400-00001	neutralizador de nitroglicerina
scnlp400-02259	chofer
scnlp400-02260	operador de la máquina texturing ii
scnlp400-02261	operador de la pantalla
scnlp400-02262	operador de carrete de tinte
scnlp400-02263	mezclador húmedo
scnlp400-02264	licitación cúpula
scnlp400-02265	balanceador de escala
scnlp400-02266	licitación de tizón
scnlp400-02267	clasificador de piezas de tapicería
scnlp400-02268	enrutador
scnlp400-02269	supervisor de almidón seco
scnlp400-02270	operador de traslados
scnlp400-02271	comandante de lanzamiento de policía de puerto
scnlp400-02272	técnico veterinario
scnlp400-02273	molinillo de cristal
scnlp400-02274	aplicador de la máquina
scnlp400-02275	mecánico de riego
scnlp400-02276	mecánico de contadores de gas i
scnlp400-02277	calentador de espiga
scnlp400-02278	operador cortador de pana
scnlp400-02279	instructor de fabricación de prendas de vestir
scnlp400-02280	buzo
scnlp400-02281	espalda defensiva
scnlp400-02282	mano láser
scnlp400-02283	supervisor de procesamiento de huevos
scnlp400-02284	sellador y cancelación del operador de la máquina
scnlp400-02285	reparador de células
scnlp400-02286	ufólogo
scnlp400-02287	supervisor de repulping
scnlp400-02288	ensamblador de sillas hidráulicas
scnlp400-02289	limpiador de filtros
scnlp400-02290	cargador de espuma
scnlp400-02291	mecánico de bombas
scnlp400-02292	fotógrafo fotograbado
scnlp400-02293	supervisor de fabricación de moldes
scnlp400-02294	vendedor de suscripción
scnlp400-02295	lockstitch operador de la máquina
scnlp400-02296	operador de máquina pulverizadora
scnlp400-02297	tratamiento térmico ii
scnlp400-02298	operador de máquina de tambor
scnlp400-02299	representante de servicio de pasajeros i
scnlp400-02300	asistente de policía
scnlp400-02301	operador automático de troqueles
scnlp400-02302	operador de máquina acolchadora
scnlp400-02303	asambleísta
scnlp400-02304	demostrador
scnlp400-02305	plomera
scnlp400-02306	plomero
scnlp400-02307	operador de enrollador automático
scnlp400-02308	repartidor
scnlp400-02309	montador de neumáticos
scnlp400-02310	mecánico de lavandería
scnlp400-02311	operador de máquina de doblar y enrollar tela
scnlp400-02312	prosa, ficción y escritura de no ficción
scnlp400-02313	máquina cortadora
scnlp400-02314	finisher de artículos
scnlp400-02315	extractor de la máquina y laster
scnlp400-02316	lijadora de parche
scnlp400-02317	agente de servicio de extensión de distrito
scnlp400-02318	banda y cuff cutter
scnlp400-02319	mercer
scnlp400-02320	constructor de tubos de aeroplano
scnlp400-02321	marcador i
scnlp400-02322	operador de máquina de relleno
scnlp400-02323	esparcidor de seda
scnlp400-02324	fisiatra
scnlp400-02325	jefe de bomberos
scnlp400-02326	taikonaut
scnlp400-02327	operador de canasta de azúcar húmeda y seca
scnlp400-02328	gerente de empleo
scnlp400-02329	focuser
scnlp400-02330	empaquetador de la máquina
scnlp400-02331	cementador de manguera dual
scnlp400-02332	operador de la máquina de creación de perfiles i
scnlp400-02333	probador de contenedores de aluminio
scnlp400-02334	arquitecto marino
scnlp400-02335	comisionado electoral
scnlp400-02336	mensajera
scnlp400-02337	limpiador de hojas de molde
scnlp400-02338	químico de la planta de tratamiento de aguas residuales
scnlp400-02339	operador de máquina para hacer tubos de hormigón
scnlp400-02340	ensamblador de araña
scnlp400-02341	auxiliar de contabilidad
scnlp400-02342	operador de máquina de oropel
scnlp400-02343	compilador
scnlp400-02344	stoner de mano
scnlp400-02345	fabricante del arco
scnlp400-02346	supervisor de pruebas de neumáticos automotores
scnlp400-02347	empleado de rehabilitación
scnlp400-02348	insertador de lentes
scnlp400-02349	esquilador de ovejas
scnlp400-02350	recogedor de granos
scnlp400-02351	sintonizador de percusión
scnlp400-02352	fijador de telar de alfombras
scnlp400-02353	dueño de casa
scnlp400-02354	sepulturero
scnlp400-02355	operador de máquina de lana de acero
scnlp400-02356	servicio, despachador jefe
scnlp400-02357	supervisor de remoción de amianto
scnlp400-02358	ajustador del asiento del talón de la máquina
scnlp400-02359	grabador de vidrio óptico
scnlp400-02360	coordinador médico de uso de pesticidas
scnlp400-02361	lijadora de moldeo
scnlp400-02362	trabajador de vestir de aves de corral
scnlp400-02363	punt returner
scnlp400-02364	radiólogo
scnlp400-02365	supervisor de servicio de césped y arboles
scnlp400-02366	acompañante de paseo
scnlp400-02367	ajustador de la máquina de carga del clip
scnlp400-02368	operador de digestión
scnlp400-02369	teniente
scnlp400-02370	inspector de troquel abierto
scnlp400-02371	generador de patrones de máscara de fotos
scnlp400-02372	máquina de bander y celofán
scnlp400-02373	vendedor de drogas
scnlp400-02374	ensamblador de hardware de fontanería
scnlp400-02375	instructor de ciencias militares
scnlp400-02376	comisionista de productos agrícolas
scnlp400-02377	lijadora
scnlp400-02378	operador de máquina texturizadora de hilo i
scnlp400-02379	operador de depilación de losas
scnlp400-02380	quemador
scnlp400-02381	auditor de procesamiento de datos
scnlp400-02382	supervisor de preparacion
scnlp400-02383	encuadernación
scnlp400-02384	concejal
scnlp400-02385	trabajador de suelo de embalaje
scnlp400-02386	representante
scnlp400-02387	director de arte
scnlp400-02388	cirujano oral y maxilofacial
scnlp400-02389	montador
scnlp400-02390	operador de la sierra
scnlp400-02391	soplador de vidrio
scnlp400-02392	nath
scnlp400-02393	operador del túnel del congelador
scnlp400-02394	cortador de semillas
scnlp400-02395	licuadora de estampación
scnlp400-02396	mecánico de la lancha auxiliar
scnlp400-02397	operador de la máquina sinter
scnlp400-02398	cortador de paneles
scnlp400-02399	plantilla y refuerzo del talón
scnlp400-02400	matrona
scnlp400-02401	locomotora de sistemas de lubricación
scnlp400-02402	sombrerero
scnlp400-02403	licitación de equipos de ventilación
scnlp400-02404	laminador de moldes
scnlp400-02405	operador de prensa de vulcanización
scnlp400-02406	mecánico de equipos de procesamiento de correo
scnlp400-02407	distribuidor del directorio telefónico
scnlp400-02408	operador de la máquina de blindaje
scnlp400-02409	máquinas de embalaje de jugo setter
scnlp400-02410	operador de planta diesel
scnlp400-02411	vendedor de tarifa de tráfico
scnlp400-02412	redactor de piezas de fundición
scnlp400-02413	ticketer
scnlp400-02414	ayudante de polimerización
scnlp400-02415	operador de máquina foiling
scnlp400-02416	director de medios
scnlp400-02417	supervisor de fabricación de paracaídas
scnlp400-02418	supervisor de clasificación
scnlp400-02419	ensamblador de conectores de empuje
scnlp400-02420	operador de la unidad de reimpresión de cáscara de escopeta
scnlp400-02421	operador de transferencia de horno
scnlp400-02422	despachador de servicio de mantenimiento
scnlp400-02423	ensamblador de mecha y base
scnlp400-02424	trabajador de mosaico
scnlp400-02425	shackler traducción
scnlp400-02426	setter de la máquina de la cubierta del rodillo de pintura
scnlp400-02427	inspector de ruedas
scnlp400-02428	técnico de fotografía
scnlp400-02429	operador automático de la máquina de remachar
scnlp400-02430	empleado de control de cancelación y corte
scnlp400-02431	ingeniero de normas
scnlp400-02432	tornado
scnlp400-02433	supervisor de fabricación de cables
scnlp400-02434	refinador
scnlp400-02435	inspector de vehículos de motor
scnlp400-02436	operador de máquina de garnett
scnlp400-02437	ensamblador de lente multifocal
scnlp400-02438	supervisor de procesamiento de uranio
scnlp400-02439	reparador de instrumentos de percusión
scnlp400-02440	tema de investigación
scnlp400-02441	coordinador de material
scnlp400-02442	editor de película o video
scnlp400-02443	trabajador de línea de obleas
scnlp400-02444	ministra
scnlp400-02445	clasificador
scnlp400-02446	procesador de productos estériles
scnlp400-02447	limpiador de cuerdas
scnlp400-02448	operador de prensa de bolsas de papel
scnlp400-02449	recortadora
scnlp400-02450	supervisor de construcción de acero estructural
scnlp400-02451	marcador de cartón de máquina
scnlp400-02452	tecnólogo de procedimientos especiales de cateterismo cardíaco
scnlp400-02453	ensamblador de fuegos artificiales
scnlp400-02454	enrollador de guía
scnlp400-02455	probador de voltaje
scnlp400-02456	inspector de pérdidas de rendimiento
scnlp400-02457	procesador de préstamos hipotecarios
scnlp400-02458	economista
scnlp400-02459	amortiguador de neumáticos
scnlp400-02460	ayudante de unión metálica
scnlp400-02461	trabajador de balcón
scnlp400-02462	tripulante de armas de infantería
scnlp400-02463	operador de coiler
scnlp400-02464	inspector de malezas
scnlp400-02465	supervisor metalúrgico y control de calidad
scnlp400-02466	consultor de construcción
scnlp400-02467	ensamblador de sello de aceite
scnlp400-02468	diseñador de diseño de electromecanismos
scnlp400-02469	operador de planta de ácido de contacto
scnlp400-02470	representante de ventas puerta a puerta
scnlp400-02471	operador de la caldera
scnlp400-02472	operador cuchillo
scnlp400-02473	ayudante técnico de instrumentos
scnlp400-02474	operador de máquina de pavimentación
scnlp400-02475	operador de máquina de tornear
scnlp400-02476	alimentador de la máquina formadora de sombrero
scnlp400-02477	jefe de construcción
scnlp400-02478	supervisor vi
scnlp400-02479	limpiador comercial o institucional
scnlp400-02480	asistente de crianza de niños
scnlp400-02481	consejero de la ciudad
scnlp400-02482	representante de ventas de prendas de vestir para mujeres y niñas
scnlp400-02483	graduador de cuero
scnlp400-02484	prensa alimentador de la máquina
scnlp400-02485	nivel líder
scnlp400-02486	guitarrista
scnlp400-02487	entallador
scnlp400-02488	operador de molino de alimentación personalizado
scnlp400-02489	publicador
scnlp400-02490	carpintero del puente
scnlp400-02491	mecanógrafo perforador
scnlp400-02492	supervisor de metalización al vacío
scnlp400-02493	extractor de algodón
scnlp400-02494	cortador de enchufe
scnlp400-02495	corredor de la máquina de canalización
scnlp400-02496	ensamblador de combustible atómico
scnlp400-02497	clasificador de chatarra
scnlp400-02498	pañero plano
scnlp400-02499	ingeniero de servicio de campo
scnlp400-02500	ajustador
scnlp400-02501	operador de calcinador
scnlp400-02502	cabildero
scnlp400-02503	maestra
scnlp400-02504	operador de esterilizador
scnlp400-02505	inspector de gafas
scnlp400-02506	curtidor
scnlp400-02507	reparador de equipos de soldadura
scnlp400-02508	regulador de tono
scnlp400-02509	podadora de árboles
scnlp400-02510	presidente de la institución educativa
scnlp400-02511	expositor de ventas
scnlp400-02512	pronosticador
scnlp400-02513	ensamblador de placas de batería
scnlp400-02514	supervisor de mezclador de recubrimiento
scnlp400-02515	asistente de diseñador
scnlp400-02516	agente de viajes
scnlp400-02517	operador splash line
scnlp400-02518	grabador de campo
scnlp400-02519	trabajador de lienzo
scnlp400-02520	supervisor de área de proceso
scnlp400-02521	celofán máquina de fundición
scnlp400-02522	técnico de biología
scnlp400-02523	instalador de señal de protección
scnlp400-02524	gerente de seguridad interna
scnlp400-02525	operador de línea de pintura
scnlp400-02526	supervisor de planta de tubería de hormigón
scnlp400-02527	inspector de motores de combustión interna
scnlp400-02528	inspector de baterías
scnlp400-02529	saxofonista
scnlp400-02530	lector de scripts
scnlp400-02531	stubber
scnlp400-02532	ayudante de operador de máquina de sesgo
scnlp400-02533	empleado de depósito
scnlp400-02534	ayudante múltiple de la sander del tambor
scnlp400-02535	bloqueador automático
scnlp400-02536	alimentador de prensa de cilindro
scnlp400-02537	gerente de piscina
scnlp400-02538	enfermera práctica licenciada
scnlp400-02539	operador de la máquina de cepillado de esquina joya
scnlp400-02540	mezclador de polvo de chile
scnlp400-02541	supervisor de operaciones
scnlp400-02542	log loader helper
scnlp400-02543	aplicador de diseño de plástico
scnlp400-02544	taxidermista
scnlp400-02545	operador de torno de piedra
scnlp400-02546	operador de tanque de vapor
scnlp400-02547	operador nitrator
scnlp400-02548	ensamblador de máquina para extractor
scnlp400-02549	operador de prensa de curado
scnlp400-02550	operador de máquina de donuts
scnlp400-02551	ensamblador
scnlp400-02552	microbiólogo
scnlp400-02553	operador de fábrica de ladrillos
scnlp400-02554	mecánico de la estación de servicio del automóvil
scnlp400-02555	troqueladora
scnlp400-02556	agente de policía de prevención de delitos
scnlp400-02557	corresponsal
scnlp400-02558	bromista
scnlp400-02559	pumper
scnlp400-02560	atleta
scnlp400-02561	medidor de la tela de la máquina
scnlp400-02562	ayudante del operador de la máquina de fieltrado
scnlp400-02563	lockstitch manga setter
scnlp400-02564	sumiller
scnlp400-02565	operador de máquinas de secado y secado
scnlp400-02566	operador de cortador de chorro de fluido
scnlp400-02567	supervisor de mecánica de equipo de campo de petróleo
scnlp400-02568	carpeta de encuadernación
scnlp400-02569	engrasador de la bandeja de la máquina
scnlp400-02570	pesadora y mezcladora
scnlp400-02571	enfermera de control de infecciones
scnlp400-02572	encuadernador
scnlp400-02573	río
scnlp400-02574	supervisor de fabricación de prendas de vestir
scnlp400-02575	carpintero áspero
scnlp400-02576	operador de servicio de pozo de petróleo
scnlp400-02577	operador de briquetas
scnlp400-02578	operador de la planta de parafina
scnlp400-02579	mecánico de mantenimiento telefónico
scnlp400-02580	inspector de fugas de gas
scnlp400-02581	registrador de artículos devueltos
scnlp400-02582	supervisor de mezcla de pasta de color
scnlp400-02583	aprendiz de fotógrafo litográfico
scnlp400-02584	operario de impermeabilizante de imprimación
scnlp400-02585	recaudador
scnlp400-02586	ingeniero de control de la contaminación
scnlp400-02587	tricotar elástico quirúrgico
scnlp400-02588	fumigador y esterilizador
scnlp400-02589	nutricionista
scnlp400-02590	operador de máquina de briquetas
scnlp400-02591	hemmer automático
scnlp400-02592	operador de máquina de ropa
scnlp400-02593	traductor
scnlp400-02594	coordinador defensivo
scnlp400-02595	técnico de planta y mantenimiento
scnlp400-02596	supervisor de fabricación de vallas
scnlp400-02597	ensamblador de edificios de hormigón
scnlp400-02598	operador de máquina de tricotar urdimbre
scnlp400-02599	mecánico de puertas cerradas
scnlp400-02600	contralor
scnlp400-02601	lavadora de carbón
scnlp400-02602	pornógrafo
scnlp400-02603	presentadora / presentadora de salón de baile
scnlp400-02604	trabajador de caucho y plásticos
scnlp400-02605	carroter
scnlp400-02606	planificador de la tripulación
scnlp400-02607	cúpula
scnlp400-02608	operador de máquina de fregado
scnlp400-02609	jefe de cocina
